Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Erik Swanson","TOR",4,2,4,69,0,66.2,10.125001544952628,2.8350004325867357,1.080000164794947,0.27848101265822783,0.82524272,0.39634146,0.10666667,93.73803577527322,2.9700004531861044,3.04,3.5100403984069883,3.810061167380409,0.9080146551132202,"Erik Swanson",16587,657024
"Ian Gibaut","CIN",8,4,3,74,0,75.2,8.207050389003426,3.330397259305738,0.9515420740873536,0.291866028708134,0.75723831,0.39906103,0.1,95.29644590435606,3.330397259305738,3.79,4.074423812183403,4.448011657556847,0.9001567959785461,"Ian Gibaut",17871,664139
"José Leclerc","TEX",0,2,4,57,0,57,10.578949492394194,4.421053519209514,0.7894738427159846,0.24427480916030533,0.8,0.29411765,0.06493506,95.13155455508475,2.684211065234348,3.16,3.623461486097863,4.7165860047641175,0.8981314897537231,"Jose Leclerc",14524,600917
"Domingo Germán","NYY",5,7,0,20,19,108.2,9.441718012376048,2.8159509861472425,1.6564417565572014,0.23333333333333334,0.65263158,0.39446367,0.17094017,92.43250258000137,4.555214830532304,4.33,4.653813398367596,4.0413178798507925,0.896364115178585,"Domingo German",17149,593334
"Julian Merryweather","CHC",5,1,2,69,0,72,12.250001298056846,4.500000476837209,1.0000001059638242,0.3125,0.79952267,0.40718563,0.11940299,98.20317946962152,3.3750003576279064,3.63,3.518929276348635,3.613020501800261,0.8892439007759094,"Julian Merryweather",16703,657240
"Nick Anderson","ATL",4,0,1,35,0,35.1,9.16981165075524,2.29245291268881,0.76415097089627,0.2903225806451613,0.7183908,0.41666667,0.07894737,94.4384551779197,3.05660388358508,3.66,3.085229032631233,3.7595884903934094,0.877101719379425,"Nick Anderson",18337,623433
"A.J. Puk","MIA",7,5,15,58,0,56.2,12.388237517994154,2.064706252999026,1.5882355792300198,0.31654676258992803,0.72727273,0.44217687,0.16949153,95.86386234504133,3.9705889480750494,3.04,3.590334537334519,3.017647731288382,0.8736506700515747,"A.J. Puk",19343,640462
"Matthew Boyd","DET",5,5,0,15,15,71,9.253522121109452,3.1690144250374837,1.3943663470164926,0.3020833333333333,0.62034739,0.3880597,0.12643678,91.64313122234513,5.450704811064472,4.21,4.353632026843398,4.3654855857743255,0.8692877292633057,"Matthew Boyd",15440,571510
"Joe Kelly","- - -",2,5,1,42,0,39.1,13.728815334619469,4.11864460038584,0.6864407667309734,0.3058823529411765,0.60267857,0.57954545,0.14285714,99.22968493009868,4.11864460038584,2.93,2.72114198537298,2.6123382467174223,0.8606144785881042,"Joe Kelly",9761,523260
"Paul Sewald","- - -",3,2,34,65,0,60.2,11.868133111904806,3.5604399335714416,1.1868133111904806,0.27941176470588236,0.80267559,0.32142857,0.11428571,92.25585259331598,3.1153849418750115,2.79,3.5682272055056696,3.7616550737412124,0.8603296130895615,"Paul Sewald",13892,623149
"Brock Stewart","MIN",2,0,1,28,0,27.2,12.68674990338013,3.5783140753123446,0.3253012795738495,0.3157894736842105,0.97972973,0.36842105,0.04166667,97.38650299781976,0.650602559147699,2.46,2.206847347536889,3.1712008978741517,0.8596562147140503,"Brock Stewart",16727,592779
"Hector Neris","HOU",6,3,2,71,0,68.1,10.14146416949494,4.082927133173287,0.9219512881359035,0.21935483870967742,0.90490798,0.31847134,0.08641975,93.05832741477273,1.7121952493952495,3.35,3.825772109295487,4.453891552194126,0.8425485491752625,"Hector Neris",11804,593576
"Trevor Megill","MIL",1,0,0,31,2,34.2,13.50000099035417,3.1153848439278855,0.5192308073213142,0.4074074074074074,0.75221239,0.30487805,0.05405405,99.12895259150753,3.6346156512491996,3.28,2.1300402769675566,3.144675396482122,0.8367009609937668,"Trevor Megill",17722,656730
"Andrew Nardi","MIA",8,1,3,63,0,57.1,11.45930486708017,3.2965123590230627,1.0988374530076876,0.2878787878787879,0.86378738,0.4379562,0.14,94.58872288445018,2.66860524301867,2.73,3.6038776461661777,3.4585448412156623,0.8364819288253784,"Andrew Nardi",25942,677053
"Ryan Yarbrough","- - -",8,7,2,25,9,89.2,6.72490739697844,1.405204530711913,1.3048327785182048,0.3018181818181818,0.73146293,0.39084507,0.11111111,87.141451582347,4.516728848716863,4.33,4.381434467448684,4.6540235725637356,0.8337437734007835,"Ryan Yarbrough",16502,642232
